rna-XM_005852746.1	gene-TOMM6	TOMM6
rna-XM_014549427.1	gene-KCNIP2	KCNIP2
rna-XM_005878277.2	gene-KCNIP2	KCNIP2
rna-XM_014549425.1	gene-KCNIP2	KCNIP2
rna-XM_014549428.1	gene-KCNIP2	KCNIP2
rna-XM_005878278.2	gene-KCNIP2	KCNIP2
rna-XM_005878279.2	gene-KCNIP2	KCNIP2
rna-XM_014549433.1	gene-KCNIP2	KCNIP2
rna-XM_005878283.2	gene-KCNIP2	KCNIP2
rna-XM_014549429.1	gene-KCNIP2	KCNIP2
rna-XM_014549430.1	gene-KCNIP2	KCNIP2
rna-XM_005878280.2	gene-KCNIP2	KCNIP2
rna-XM_014549432.1	gene-KCNIP2	KCNIP2
rna-XM_014549431.1	gene-KCNIP2	KCNIP2
rna-XM_005878281.2	gene-KCNIP2	KCNIP2
rna-XR_314273.2	gene-LOC102246063	LOC102246063
rna-XM_014549456.1	gene-MGEA5	MGEA5
rna-XM_014549481.1	gene-NPM3	NPM3
rna-XM_014549405.1	gene-FGF8	FGF8
rna-XR_001364446.1	gene-LOC106728175	LOC106728175
rna-XM_014549434.1	gene-FBXW4	FBXW4
rna-XM_005878287.2	gene-FBXW4	FBXW4
rna-XM_014549435.1	gene-FBXW4	FBXW4
rna-XM_014549437.1	gene-DPCD	DPCD
rna-XM_005878286.2	gene-DPCD	DPCD
rna-XM_005878285.2	gene-DPCD	DPCD
rna-XM_005878293.2	gene-POLL	POLL
rna-XM_005878288.2	gene-POLL	POLL
rna-XM_005878289.2	gene-POLL	POLL
rna-XM_005878291.2	gene-POLL	POLL
rna-XM_005878292.2	gene-POLL	POLL
rna-XM_014549475.1	gene-POLL	POLL
rna-XM_014549453.1	gene-BTRC	BTRC
rna-XM_014549454.1	gene-BTRC	BTRC
rna-XM_014549449.1	gene-BTRC	BTRC
rna-XM_014549450.1	gene-BTRC	BTRC
rna-XM_014549455.1	gene-BTRC	BTRC
rna-XM_014549451.1	gene-BTRC	BTRC
rna-XM_014549452.1	gene-BTRC	BTRC
rna-XM_014549445.1	gene-BTRC	BTRC
rna-XM_014549446.1	gene-BTRC	BTRC
rna-XM_014549447.1	gene-BTRC	BTRC
rna-XM_014549444.1	gene-BTRC	BTRC
rna-XM_014549439.1	gene-BTRC	BTRC
rna-XM_014549448.1	gene-BTRC	BTRC
rna-XM_014549440.1	gene-BTRC	BTRC
rna-XM_014549442.1	gene-BTRC	BTRC
rna-XM_005878294.2	gene-BTRC	BTRC
rna-XM_005878295.2	gene-BTRC	BTRC
rna-XM_005878296.2	gene-BTRC	BTRC
rna-XM_005878299.2	gene-BTRC	BTRC
rna-XM_005878300.2	gene-BTRC	BTRC
rna-XM_014549438.1	gene-BTRC	BTRC
rna-XM_014549441.1	gene-BTRC	BTRC
rna-XM_014549443.1	gene-BTRC	BTRC
rna-XM_005878318.1	gene-LBX1	LBX1
rna-XM_014549482.1	gene-TLX1	TLX1
rna-XR_001364449.1	gene-LOC106728177	LOC106728177
rna-XM_005878321.2	gene-LOC102260248	LOC102260248
rna-XM_005878395.2	gene-LOC102255435	LOC102255435
rna-XM_005878322.2	gene-TINAGL1	TINAGL1
rna-XM_014549537.1	gene-TINAGL1	TINAGL1
rna-XM_005878323.2	gene-HCRTR1	HCRTR1
rna-XM_005878324.2	gene-HCRTR1	HCRTR1
rna-XM_014549524.1	gene-PEF1	PEF1
rna-XM_014549525.1	gene-PEF1	PEF1
rna-XM_005878325.1	gene-PEF1	PEF1
rna-XM_005878326.2	gene-PEF1	PEF1
rna-XM_014549529.1	gene-COL16A1	COL16A1
rna-XM_014549530.1	gene-COL16A1	COL16A1
rna-XM_014549531.1	gene-COL16A1	COL16A1
rna-XM_014549532.1	gene-COL16A1	COL16A1
rna-XM_014549533.1	gene-COL16A1	COL16A1
rna-XM_014549534.1	gene-COL16A1	COL16A1
rna-XM_014549535.1	gene-COL16A1	COL16A1
rna-XM_014549536.1	gene-COL16A1	COL16A1
rna-XM_014549541.1	gene-ADGRB2	ADGRB2
rna-XM_014549540.1	gene-ADGRB2	ADGRB2
rna-XM_005878332.2	gene-ADGRB2	ADGRB2
rna-XM_005878333.2	gene-ADGRB2	ADGRB2
rna-XM_005878331.2	gene-ADGRB2	ADGRB2
rna-XM_014549539.1	gene-ADGRB2	ADGRB2
rna-XM_014549486.1	gene-SPOCD1	SPOCD1
rna-XM_014549523.1	gene-PTP4A2	PTP4A2
rna-XM_005878334.2	gene-PTP4A2	PTP4A2
gene-LOC102264173	gene-LOC102264173	LOC102264173
rna-XR_001364452.1	gene-LOC106728182	LOC106728182
rna-XM_005878337.2	gene-KHDRBS1	KHDRBS1
rna-XR_001364453.1	gene-KHDRBS1	KHDRBS1
rna-XM_014549487.1	gene-TMEM39B	TMEM39B
rna-XM_005878339.2	gene-KPNA6	KPNA6
rna-XM_005878340.2	gene-KPNA6	KPNA6
rna-XM_005878348.2	gene-TXLNA	TXLNA
rna-XM_005878349.2	gene-TXLNA	TXLNA
rna-XM_005878343.2	gene-TMEM234	TMEM234
rna-XM_014549514.1	gene-TMEM234	TMEM234
rna-XM_014549513.1	gene-TMEM234	TMEM234
rna-XM_005878342.2	gene-TMEM234	TMEM234
rna-XM_014549515.1	gene-TMEM234	TMEM234
rna-XM_014549512.1	gene-CCDC28B	CCDC28B
rna-XM_014549511.1	gene-CCDC28B	CCDC28B
rna-XM_005878346.2	gene-CCDC28B	CCDC28B
rna-XM_005878345.2	gene-IQCC	IQCC
rna-XM_005878344.2	gene-DCDC2B	DCDC2B
rna-XM_005878341.2	gene-EIF3I	EIF3I
rna-XM_014549488.1	gene-FAM167B	FAM167B
rna-XM_005878350.2	gene-LCK	LCK
rna-XM_005878351.2	gene-HDAC1	HDAC1
rna-XM_014549526.1	gene-HDAC1	HDAC1
rna-XM_014549489.1	gene-MARCKSL1	MARCKSL1
rna-XR_001364450.1	gene-LOC106728181	LOC106728181
rna-XM_005878400.2	gene-FAM229A	FAM229A
rna-XM_005878352.2	gene-TSSK3	TSSK3
rna-XM_005878354.2	gene-BSDC1	BSDC1
rna-XM_014549518.1	gene-BSDC1	BSDC1
rna-XM_014549517.1	gene-BSDC1	BSDC1
gene-LOC102243396	gene-LOC102243396	LOC102243396
rna-XM_014549516.1	gene-ZBTB8B	ZBTB8B
rna-XM_005878356.1	gene-ZBTB8B	ZBTB8B
rna-XM_005878357.2	gene-ZBTB8B	ZBTB8B
gene-LOC102244376	gene-LOC102244376	LOC102244376
rna-XM_014549498.1	gene-ZBTB8A	ZBTB8A
rna-XM_005878359.2	gene-ZBTB8A	ZBTB8A
rna-XM_014549506.1	gene-ZBTB8OS	ZBTB8OS
rna-XM_005878361.2	gene-ZBTB8OS	ZBTB8OS
rna-XM_014549504.1	gene-ZBTB8OS	ZBTB8OS
rna-XM_014549505.1	gene-ZBTB8OS	ZBTB8OS
rna-XM_005878363.2	gene-RBBP4	RBBP4
rna-XM_014549502.1	gene-RBBP4	RBBP4
rna-XM_005878362.2	gene-RBBP4	RBBP4
rna-XM_005878364.2	gene-SYNC	SYNC
rna-XM_014549499.1	gene-KIAA1522	KIAA1522
rna-XM_014549500.1	gene-KIAA1522	KIAA1522
rna-XM_014549501.1	gene-YARS	YARS
rna-XM_005878366.2	gene-YARS	YARS
rna-XR_314275.2	gene-LOC102247309	LOC102247309
rna-XM_014549503.1	gene-S100PBP	S100PBP
rna-XM_005878367.2	gene-S100PBP	S100PBP
rna-XM_005878369.2	gene-S100PBP	S100PBP
rna-XM_005878368.2	gene-S100PBP	S100PBP
rna-XM_014549491.1	gene-FNDC5	FNDC5
rna-XM_005878373.2	gene-HPCA	HPCA
rna-XM_005878372.2	gene-HPCA	HPCA
rna-XM_014549528.1	gene-HPCA	HPCA
rna-XM_005878371.2	gene-TMEM54	TMEM54
rna-XM_014549527.1	gene-TMEM54	TMEM54
rna-XM_014549520.1	gene-RNF19B	RNF19B
rna-XM_005878374.2	gene-RNF19B	RNF19B
rna-XM_014549519.1	gene-RNF19B	RNF19B
rna-XM_014549521.1	gene-RNF19B	RNF19B
rna-XM_014549492.1	gene-AK2	AK2
rna-XR_001364455.1	gene-LOC102250273	LOC102250273
rna-XM_014549483.1	gene-AZIN2	AZIN2
rna-XM_014549484.1	gene-AZIN2	AZIN2
rna-NM_001293760.1	gene-AZIN2	AZIN2
rna-XM_014549485.1	gene-AZIN2	AZIN2
rna-XR_314277.2	gene-LOC102250773	LOC102250773
rna-XR_001364454.1	gene-LOC102250773	LOC102250773
rna-XM_014549493.1	gene-TRIM62	TRIM62
rna-XM_014549494.1	gene-ZNF362	ZNF362
rna-XM_014549495.1	gene-A3GALT2	A3GALT2
gene-LOC106728183	gene-LOC106728183	LOC106728183
rna-XM_014549507.1	gene-PHC2	PHC2
rna-XM_014549510.1	gene-PHC2	PHC2
rna-XM_014549509.1	gene-PHC2	PHC2
rna-XM_014549508.1	gene-PHC2	PHC2
rna-XM_014549496.1	gene-LOC106728179	LOC106728179
rna-XM_005878404.2	gene-LOC102258164	LOC102258164
rna-XM_005878383.2	gene-ZSCAN20	ZSCAN20
rna-XM_005878384.2	gene-ZSCAN20	ZSCAN20
rna-XM_005878390.2	gene-ZSCAN20	ZSCAN20
rna-XM_014549542.1	gene-ZSCAN20	ZSCAN20
rna-XM_014549543.1	gene-ZSCAN20	ZSCAN20
rna-XM_005878382.2	gene-ZSCAN20	ZSCAN20
rna-XM_014549546.1	gene-ZSCAN20	ZSCAN20
rna-XM_014549547.1	gene-ZSCAN20	ZSCAN20
rna-XM_005878385.2	gene-ZSCAN20	ZSCAN20
rna-XM_005878391.2	gene-ZSCAN20	ZSCAN20
rna-XM_005878389.2	gene-ZSCAN20	ZSCAN20
rna-XM_014549545.1	gene-ZSCAN20	ZSCAN20
rna-XM_005878388.2	gene-ZSCAN20	ZSCAN20
rna-XM_014549497.1	gene-LOC102258474	LOC102258474
rna-XR_001364456.1	gene-LOC106728185	LOC106728185
rna-XM_014549548.1	gene-LOC106728184	LOC106728184
rna-XM_005878405.1	gene-LOC102258761	LOC102258761
rna-XR_001364457.1	gene-LOC106728186	LOC106728186
gene-LOC102242494	gene-LOC102242494	LOC102242494
gene-LOC102259057	gene-LOC102259057	LOC102259057
gene-LOC102242801	gene-LOC102242801	LOC102242801
rna-XR_001364458.1	gene-LOC106728187	LOC106728187
gene-LOC102243108	gene-LOC102243108	LOC102243108
rna-XM_005878406.2	gene-CD83	CD83
rna-XM_005878409.2	gene-RNF182	RNF182
rna-XM_005878408.2	gene-RNF182	RNF182
rna-XM_005878410.2	gene-RNF182	RNF182
rna-XM_014549574.1	gene-RNF182	RNF182
rna-XM_014549576.1	gene-RNF182	RNF182
rna-XM_014549549.1	gene-LOC102243398	LOC102243398
rna-XM_014549550.1	gene-MCUR1	MCUR1
rna-XR_001364463.1	gene-LOC106728192	LOC106728192
rna-XM_014549552.1	gene-RANBP9	RANBP9
rna-XR_001364460.1	gene-LOC102260660	LOC102260660
rna-XM_005878439.2	gene-NOL7	NOL7
rna-XM_014549561.1	gene-SIRT5	SIRT5
rna-XM_005878414.2	gene-SIRT5	SIRT5
rna-XM_005878412.2	gene-SIRT5	SIRT5
rna-XM_005878413.2	gene-SIRT5	SIRT5
rna-XM_005878415.2	gene-GFOD1	GFOD1
rna-XM_005878416.2	gene-TBC1D7	TBC1D7
rna-XM_005878417.2	gene-TBC1D7	TBC1D7
rna-XR_001364462.1	gene-LOC106728190	LOC106728190
rna-XR_001364461.1	gene-PHACTR1	PHACTR1
rna-XM_014549558.1	gene-PHACTR1	PHACTR1
rna-XM_014549556.1	gene-PHACTR1	PHACTR1
rna-XM_014549557.1	gene-PHACTR1	PHACTR1
rna-XM_014549555.1	gene-PHACTR1	PHACTR1
rna-XM_014549554.1	gene-PHACTR1	PHACTR1
rna-XM_014549553.1	gene-PHACTR1	PHACTR1
gene-LOC102263557	gene-LOC102263557	LOC102263557
gene-LOC102244568	gene-LOC102244568	LOC102244568
rna-XM_005878440.2	gene-LOC102244871	LOC102244871
rna-XM_005878424.2	gene-EDN1	EDN1
rna-XM_005878441.2	gene-HIVEP1	HIVEP1
rna-XM_005878425.2	gene-ADTRP	ADTRP
rna-XM_005878426.2	gene-TMEM170B	TMEM170B
rna-XM_014549559.1	gene-NEDD9	NEDD9
rna-XM_005878427.2	gene-NEDD9	NEDD9
rna-XM_014549560.1	gene-NEDD9	NEDD9
gene-LOC102245466	gene-LOC102245466	LOC102245466
rna-XM_005878428.2	gene-SMIM13	SMIM13
gene-LOC102239642	gene-LOC102239642	LOC102239642
rna-XM_005878443.2	gene-ELOVL2	ELOVL2
rna-XR_001364464.1	gene-LOC106728193	LOC106728193
rna-XM_014549551.1	gene-SYCP2L	SYCP2L
rna-XM_005878429.1	gene-GCM2	GCM2
rna-XR_001364459.1	gene-LOC106728188	LOC106728188
rna-XR_001364468.1	gene-MAK	MAK
rna-XM_014549570.1	gene-MAK	MAK
rna-XM_005878430.2	gene-MAK	MAK
rna-XM_014549571.1	gene-MAK	MAK
rna-XM_014549572.1	gene-MAK	MAK
rna-XM_014549569.1	gene-MAK	MAK
rna-XM_014549573.1	gene-MAK	MAK
rna-XM_014549567.1	gene-LOC102241179	LOC102241179
rna-XM_014549568.1	gene-LOC102241179	LOC102241179
rna-XM_005878432.2	gene-PAK1IP1	PAK1IP1
rna-XM_014549562.1	gene-PAK1IP1	PAK1IP1
rna-XM_014549563.1	gene-LOC102241791	LOC102241791
rna-XM_005878434.2	gene-LOC102241791	LOC102241791
rna-XM_005878435.2	gene-LOC102241791	LOC102241791
rna-XM_014549566.1	gene-LOC102241791	LOC102241791
rna-XM_005878433.2	gene-LOC102241791	LOC102241791
rna-XM_014549564.1	gene-LOC102241791	LOC102241791
rna-XM_014549565.1	gene-LOC102241791	LOC102241791
rna-XM_005878445.2	gene-ZMIZ1	ZMIZ1
rna-XM_014549578.1	gene-LOC106728196	LOC106728196
rna-XM_014549581.1	gene-LOC102248275	LOC102248275
rna-XM_014549580.1	gene-ZCCHC24	ZCCHC24
rna-XM_005878446.2	gene-ZCCHC24	ZCCHC24
rna-XM_014549579.1	gene-ZCCHC24	ZCCHC24
gene-LOC102247003	gene-LOC102247003	LOC102247003
rna-XM_005878447.2	gene-ANXA11	ANXA11
rna-XM_005878449.2	gene-ANXA11	ANXA11
rna-XM_014549577.1	gene-PLAC9	PLAC9
rna-XM_005878450.2	gene-TMEM254	TMEM254
gene-LOC102248872	gene-LOC102248872	LOC102248872
rna-XR_001364473.1	gene-LOC106728198	LOC106728198
rna-XM_014549584.1	gene-BNC1	BNC1
rna-XM_014549583.1	gene-LOC102261123	LOC102261123
rna-XM_005878454.2	gene-TM6SF1	TM6SF1
rna-XM_014549606.1	gene-BTBD1	BTBD1
rna-XM_005878495.2	gene-LOC102261717	LOC102261717
rna-XM_014549603.1	gene-LOC102250361	LOC102250361
rna-XR_001364469.1	gene-LOC102250361	LOC102250361
rna-XM_005878458.2	gene-FAM103A1	FAM103A1
rna-XM_005878457.2	gene-FAM103A1	FAM103A1
rna-XM_014549608.1	gene-FAM103A1	FAM103A1
rna-XM_005878456.2	gene-FAM103A1	FAM103A1
rna-XM_014549607.1	gene-FAM103A1	FAM103A1
rna-XM_014549585.1	gene-HOMER2	HOMER2
rna-XM_014549586.1	gene-WHAMM	WHAMM
rna-XM_014549587.1	gene-FSD2	FSD2
rna-XR_001364470.1	gene-LOC106728197	LOC106728197
rna-XM_014549588.1	gene-AP3B2	AP3B2
rna-XM_005878463.1	gene-CPEB1	CPEB1
rna-XM_014549604.1	gene-CPEB1	CPEB1
rna-XM_014549605.1	gene-CPEB1	CPEB1
rna-XM_005878467.2	gene-CPEB1	CPEB1
rna-XM_005878462.2	gene-CPEB1	CPEB1
rna-XM_005878461.2	gene-RPS17	RPS17
rna-XR_001364471.1	gene-LOC102250666	LOC102250666
rna-XR_001364472.1	gene-LOC102250666	LOC102250666
rna-XR_314279.2	gene-LOC102250666	LOC102250666
rna-XM_014549598.1	gene-PDE8A	PDE8A
rna-XM_014549596.1	gene-PDE8A	PDE8A
rna-XM_014549599.1	gene-PDE8A	PDE8A
rna-XM_014549602.1	gene-PDE8A	PDE8A
rna-XM_014549601.1	gene-PDE8A	PDE8A
rna-XM_014549600.1	gene-PDE8A	PDE8A
rna-XM_014549597.1	gene-PDE8A	PDE8A
rna-XM_005878499.1	gene-LOC102262941	LOC102262941
rna-XM_005878471.2	gene-SLC28A1	SLC28A1
rna-XM_005878470.2	gene-SLC28A1	SLC28A1
rna-XM_014549615.1	gene-SLC28A1	SLC28A1
rna-XM_005878472.2	gene-SLC28A1	SLC28A1
gene-LOC102263258	gene-LOC102263258	LOC102263258
rna-XM_005878469.1	gene-ALPK3	ALPK3
rna-XM_014549617.1	gene-ZNF592	ZNF592
rna-XR_314281.2	gene-LOC102254823	LOC102254823
rna-XM_005878475.2	gene-SEC11A	SEC11A
rna-XM_005878474.2	gene-SEC11A	SEC11A
rna-XM_014549589.1	gene-NMB	NMB
rna-XR_001364480.1	gene-LOC106728203	LOC106728203
rna-XM_005878476.2	gene-WDR73	WDR73
rna-XR_001364479.1	gene-LOC102256136	LOC102256136
rna-XM_005878477.2	gene-ZSCAN2	ZSCAN2
rna-XM_014549627.1	gene-ZSCAN2	ZSCAN2
rna-XM_014549626.1	gene-ZSCAN2	ZSCAN2
rna-XM_014549625.1	gene-ZSCAN2	ZSCAN2
gene-LOC102256338	gene-LOC102256338	LOC102256338
rna-XM_005878479.2	gene-ZNF774	ZNF774
rna-XM_014549629.1	gene-ZNF774	ZNF774
rna-XM_014549630.1	gene-ZNF774	ZNF774
rna-XM_014549628.1	gene-ZNF774	ZNF774
rna-XM_005878478.2	gene-ZNF774	ZNF774
rna-XM_014549616.1	gene-IQGAP1	IQGAP1
gene-LOC102264174	gene-LOC102264174	LOC102264174
rna-XM_014549590.1	gene-CRTC3	CRTC3
rna-XR_001364478.1	gene-LOC106728202	LOC106728202
rna-XM_005878480.2	gene-BLM	BLM
rna-XR_001364474.1	gene-LOC106728199	LOC106728199
rna-XM_014549591.1	gene-FURIN	FURIN
rna-XM_014549592.1	gene-FES	FES
rna-XM_014549593.1	gene-MAN2A2	MAN2A2
rna-XM_014549609.1	gene-UNC45A	UNC45A
rna-XM_005878481.2	gene-HDDC3	HDDC3
rna-XM_014549624.1	gene-RCCD1	RCCD1
rna-XR_001364476.1	gene-LOC106728200	LOC106728200
rna-XR_001364477.1	gene-LOC106728201	LOC106728201
rna-XM_014549618.1	gene-PRC1	PRC1
rna-XM_014549619.1	gene-PRC1	PRC1
rna-XM_014549620.1	gene-PRC1	PRC1
rna-XM_014549621.1	gene-PRC1	PRC1
rna-XR_001364475.1	gene-PRC1	PRC1
rna-XM_014549622.1	gene-PRC1	PRC1
rna-XM_005878486.2	gene-PRC1	PRC1
rna-XM_005878487.2	gene-PRC1	PRC1
rna-XM_005878488.2	gene-PRC1	PRC1
rna-XM_014549623.1	gene-PRC1	PRC1
rna-XM_014549594.1	gene-VPS33B	VPS33B
rna-XM_014549613.1	gene-NGRN	NGRN
rna-XM_005878489.2	gene-LOC102259438	LOC102259438
rna-XM_014549611.1	gene-LOC102259438	LOC102259438
rna-XM_014549610.1	gene-LOC102259438	LOC102259438
rna-XM_014549612.1	gene-LOC102259438	LOC102259438
rna-XM_014549595.1	gene-GDPGP1	GDPGP1
rna-XM_005878491.2	gene-CIB1	CIB1
rna-XM_014549614.1	gene-SEMA4B	SEMA4B
gene-LOC102260249	gene-LOC102260249	LOC102260249
rna-XR_001364481.1	gene-LOC106728204	LOC106728204
gene-LOC102244377	gene-LOC102244377	LOC102244377
gene-LOC102244674	gene-LOC102244674	LOC102244674
rna-XM_014549631.1	gene-LOC102244970	LOC102244970
rna-XM_014549640.1	gene-LOC102245268	LOC102245268
rna-XM_014549642.1	gene-LOC102245268	LOC102245268
rna-XM_014549641.1	gene-LOC102245268	LOC102245268
rna-XM_014549643.1	gene-LOC102245268	LOC102245268
gene-LOC102241591	gene-LOC102241591	LOC102241591
rna-XM_014549633.1	gene-ZMYND11	ZMYND11
rna-XM_005878511.2	gene-ZMYND11	ZMYND11
rna-XM_005878514.2	gene-ZMYND11	ZMYND11
rna-XM_005878518.2	gene-ZMYND11	ZMYND11
rna-XM_014549637.1	gene-ZMYND11	ZMYND11
rna-XM_005878517.2	gene-ZMYND11	ZMYND11
rna-XM_014549634.1	gene-ZMYND11	ZMYND11
rna-XM_014549635.1	gene-ZMYND11	ZMYND11
rna-XM_014549636.1	gene-ZMYND11	ZMYND11
rna-XM_014549639.1	gene-ZMYND11	ZMYND11
rna-XM_014549638.1	gene-ZMYND11	ZMYND11
rna-XM_005878522.2	gene-ZMYND11	ZMYND11
rna-XM_005878521.2	gene-ZMYND11	ZMYND11
rna-XM_014549632.1	gene-DIP2C	DIP2C
rna-XM_014549644.1	gene-BIN1	BIN1
gene-LOC106728205	gene-LOC106728205	LOC106728205
rna-XM_014549645.1	gene-ERCC3	ERCC3
rna-XM_005878527.2	gene-ERCC3	ERCC3
rna-XM_014549646.1	gene-ERCC3	ERCC3
rna-XM_014549647.1	gene-ERCC3	ERCC3
rna-XM_005878528.2	gene-LOC102246795	LOC102246795
rna-XM_005878525.2	gene-MAP3K2	MAP3K2
rna-XM_014549648.1	gene-LOC106728206	LOC106728206
rna-XM_014549649.1	gene-LOC102247119	LOC102247119
rna-XR_001364493.1	gene-LOC106728210	LOC106728210
rna-XM_014549650.1	gene-RNPC3	RNPC3
rna-XM_014549666.1	gene-COL11A1	COL11A1
rna-XM_005878532.2	gene-OLFM3	OLFM3
rna-XM_005878530.2	gene-OLFM3	OLFM3
rna-XM_005878533.2	gene-S1PR1	S1PR1
rna-XR_001364492.1	gene-LOC102248376	LOC102248376
rna-XM_005878534.2	gene-DPH5	DPH5
rna-XM_005878535.2	gene-DPH5	DPH5
rna-XM_014549658.1	gene-DPH5	DPH5
rna-XR_001364484.1	gene-SLC30A7	SLC30A7
rna-XM_005878536.2	gene-SLC30A7	SLC30A7
rna-XM_014549657.1	gene-SLC30A7	SLC30A7
rna-XM_005878540.2	gene-EXTL2	EXTL2
rna-XM_014549660.1	gene-EXTL2	EXTL2
rna-XM_005878539.2	gene-EXTL2	EXTL2
rna-XM_005878538.2	gene-EXTL2	EXTL2
rna-XM_014549659.1	gene-EXTL2	EXTL2
rna-XM_005878542.2	gene-VCAM1	VCAM1
rna-XR_314284.2	gene-VCAM1	VCAM1
rna-XM_014549651.1	gene-CDC14A	CDC14A
rna-XM_005878544.2	gene-RTCA	RTCA
rna-XM_014549667.1	gene-RTCA	RTCA
rna-XM_005878546.2	gene-DBT	DBT
rna-XM_014549662.1	gene-LRRC39	LRRC39
rna-XM_014549663.1	gene-LRRC39	LRRC39
rna-XM_014549661.1	gene-TRMT13	TRMT13
rna-XM_005878547.2	gene-TRMT13	TRMT13
rna-XM_014549652.1	gene-SASS6	SASS6
rna-XM_005878560.2	gene-HIAT1	HIAT1
rna-XM_005878550.2	gene-SLC35A3	SLC35A3
rna-XM_014549664.1	gene-AGL	AGL
rna-XM_005878551.1	gene-AGL	AGL
rna-XM_005878552.2	gene-FRRS1	FRRS1
rna-XM_014549653.1	gene-PALMD	PALMD
rna-XR_314285.2	gene-LOC102253734	LOC102253734
rna-XM_014549654.1	gene-PLPPR4	PLPPR4
rna-XM_005878563.2	gene-PLPPR5	PLPPR5
rna-XM_005878555.2	gene-SNX7	SNX7
rna-XM_014549655.1	gene-LOC102257037	LOC102257037
rna-XR_314286.2	gene-LOC102254446	LOC102254446
rna-XR_001364485.1	gene-LOC102254446	LOC102254446
rna-XR_001364488.1	gene-LOC102254446	LOC102254446
rna-XR_001364487.1	gene-LOC102254446	LOC102254446
rna-XR_001364486.1	gene-LOC102254446	LOC102254446
rna-XR_001364490.1	gene-LOC106728208	LOC106728208
rna-XM_014549656.1	gene-LOC102257347	LOC102257347
rna-XR_001364491.1	gene-LOC106728209	LOC106728209
rna-XR_001364489.1	gene-LOC106728207	LOC106728207
rna-XM_014549669.1	gene-LOC102257649	LOC102257649
rna-XM_014549670.1	gene-LOC102257964	LOC102257964
rna-XM_005878567.1	gene-LOC102258268	LOC102258268
gene-LOC102258565	gene-LOC102258565	LOC102258565
gene-LOC106723570	gene-LOC106723570	LOC106723570
rna-XM_005878568.2	gene-PRELP	PRELP
rna-XM_005878569.2	gene-PRELP	PRELP
rna-XM_005878572.2	gene-ATP2B4	ATP2B4
rna-XM_005878570.2	gene-ATP2B4	ATP2B4
rna-XM_005878571.2	gene-ATP2B4	ATP2B4
rna-XM_014549709.1	gene-ATP2B4	ATP2B4
rna-XM_014549711.1	gene-ATP2B4	ATP2B4
rna-XM_005878602.2	gene-LAX1	LAX1
rna-XM_014549712.1	gene-LAX1	LAX1
rna-XM_005878574.2	gene-ZC3H11A	ZC3H11A
rna-XM_005878575.2	gene-ZC3H11A	ZC3H11A
rna-XM_005878577.2	gene-ZC3H11A	ZC3H11A
rna-XM_014549676.1	gene-ZC3H11A	ZC3H11A
rna-XM_014549677.1	gene-ZC3H11A	ZC3H11A
rna-XM_014549678.1	gene-ZC3H11A	ZC3H11A
rna-XM_014549680.1	gene-ZC3H11A	ZC3H11A
rna-XM_014549681.1	gene-ZC3H11A	ZC3H11A
rna-XM_014549682.1	gene-ZC3H11A	ZC3H11A
rna-XM_014549683.1	gene-ZC3H11A	ZC3H11A
rna-XM_005878573.2	gene-ZBED6	ZBED6
rna-XM_005878580.2	gene-SNRPE	SNRPE
rna-XR_001364494.1	gene-LOC106728211	LOC106728211
rna-XM_014549674.1	gene-SOX13	SOX13
rna-XM_014549673.1	gene-SOX13	SOX13
rna-XM_014549672.1	gene-SOX13	SOX13
rna-XM_014549671.1	gene-SOX13	SOX13
rna-XM_014549675.1	gene-ETNK2	ETNK2
rna-XM_005878583.2	gene-ETNK2	ETNK2
rna-XM_005878584.2	gene-REN	REN
rna-XM_005878585.2	gene-REN	REN
rna-XM_005878586.2	gene-GOLT1A	GOLT1A
rna-XM_014549707.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549708.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549705.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549692.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549701.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549696.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549697.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549700.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549704.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549702.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549699.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549698.1	gene-PLEKHA6	PLEKHA6
rna-XM_005878590.2	gene-PLEKHA6	PLEKHA6
rna-XM_014549694.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549693.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549688.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549689.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549691.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549706.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549684.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549685.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549695.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549686.1	gene-PLEKHA6	PLEKHA6
rna-XM_014549690.1	gene-PLEKHA6	PLEKHA6
rna-XR_001364495.1	gene-LOC106728212	LOC106728212
gene-LOC102241389	gene-LOC102241389	LOC102241389
rna-XM_014549714.1	gene-LOC102241696	LOC102241696
rna-XM_014549715.1	gene-LOC102242012	LOC102242012
